created_at,current_price,fluctuation_rate,stock_code,stock_name,trading_volume
2021-03-15 20:43:29,"966,000",+2.33%,051910,LG화학,"332,869"
2021-03-15 20:43:29,"81,800",-1.21%,005930,삼성전자,"13,541,366"
2021-03-15 20:43:29,"136,500",-2.50%,000660,SK하이닉스,"4,232,119"
2021-03-15 20:43:29,"686,000",-0.44%,006400,삼성SDI,"274,397"
2021-03-15 20:43:29,"479,000",-0.42%,035720,카카오,"343,482"
2021-03-15 20:43:29,"232,000",-0.22%,005380,현대차,"763,110"
2021-03-15 20:43:29,"383,000",+0.66%,035420,NAVER,"605,428"
2021-03-15 20:43:29,"735,000",-1.08%,207940,삼성바이오로직스,"58,986"
2021-03-15 20:43:29,"289,000",-2.69%,068270,셀트리온,"463,700"
2021-03-15 20:43:29,"308,000",+2.33%,005490,POSCO,"400,495"
2021-03-15 20:43:29,"1,580,000",+0.57%,051900,LG생활건강,"24,526"
2021-03-15 20:43:29,"151,500",-0.66%,066570,LG전자,"807,473"
2021-03-15 20:43:29,"122,500",-0.81%,028260,삼성물산,"301,551"
2021-03-15 20:43:29,"85,800",+3.62%,000270,기아차,"5,215,239"
2021-03-15 20:43:29,"302,000",-0.49%,012330,현대모비스,"384,566"
2021-03-15 20:43:29,"51,200",+1.59%,105560,KB금융,"2,052,600"
2021-03-15 20:43:29,"228,500",-5.77%,096770,SK이노베이션,"1,286,740"
2021-03-15 20:43:30,"35,150",+0.57%,055550,신한지주,"1,982,948"
2021-03-15 20:43:30,"930,000",-0.53%,036570,엔씨소프트,"58,635"
2021-03-15 20:43:30,"257,000",+0.78%,017670,SK텔레콤,"171,322"
2021-03-15 20:43:30,"251,000",-2.52%,034730,SK,"222,725"
2021-03-15 20:43:30,"79,400",+1.93%,032830,삼성생명,"302,999"
2021-03-15 20:43:30,"91,600",-0.33%,003550,LG,"301,532"
2021-03-15 20:43:30,"23,250",+0.22%,015760,한국전력,"1,666,710"
2021-03-15 20:43:30,"191,000",-0.78%,009150,삼성전기,"431,891"
2021-03-15 20:43:30,"188,000",+0.80%,018260,삼성에스디에스,"104,861"
2021-03-15 20:43:30,"226,500",+0.22%,090430,아모레퍼시픽,"93,318"
2021-03-15 20:43:30,"157,500",0.00%,003670,포스코케미칼,"217,071"
2021-03-15 20:43:30,"41,500",-0.24%,086790,하나금융지주,"1,080,081"
2021-03-15 20:43:30,"80,200",-0.25%,033780,KT&G,"466,994"
2021-03-15 20:43:30,"120,500",-1.63%,251270,넷마블,"124,153"
2021-03-15 20:43:30,"300,500",-0.99%,011170,롯데케미칼,"169,172"
2021-03-15 20:43:30,"84,400",-1.29%,010950,S-Oil,"369,332"
2021-03-15 20:43:30,"17,200",-2.55%,018880,한온시스템,"1,062,753"
2021-03-15 20:43:30,"122,000",+3.83%,009540,한국조선해양,"831,400"
2021-03-15 20:43:30,"193,000",-0.52%,000810,삼성화재,"125,256"
2021-03-15 20:43:30,"109,000",+0.46%,326030,SK바이오팜,"404,061"
2021-03-15 20:43:30,"22,200",-2.20%,034220,LG디스플레이,"1,322,319"
2021-03-15 20:43:30,"218,000",-4.39%,352820,빅히트,"354,111"
2021-03-15 20:43:30,"403,500",0.00%,010130,고려아연,"26,345"
2021-03-15 20:43:30,"195,500",-0.76%,086280,현대글로비스,"139,677"
2021-03-15 20:43:30,"10,100",-0.49%,316140,우리금융지주,"2,108,799"
2021-03-15 20:43:30,"21,450",-0.69%,011200,HMM,"5,008,579"
2021-03-15 20:43:30,"44,250",+0.34%,009830,한화솔루션,"1,836,831"
2021-03-15 20:43:30,"214,000",-7.36%,011780,금호석유,"643,782"
2021-03-15 20:43:30,"27,050",+0.19%,030200,KT,"1,217,791"
2021-03-15 20:43:30,"9,020",+0.67%,024110,기업은행,"2,043,519"
2021-03-15 20:43:30,"9,560",-0.83%,006800,미래에셋대우,"1,081,996"
2021-03-15 20:43:30,"421,000",+3.31%,097950,CJ제일제당,"68,822"
2021-03-15 20:43:30,"45,050",-0.99%,161390,한국타이어앤테크놀로지,"147,839"
2021-03-15 20:43:30,"43,900",+2.69%,004020,현대제철,"1,107,505"
2021-03-15 20:43:30,"25,900",+1.57%,035250,강원랜드,"607,661"
2021-03-15 20:43:30,"63,200",0.00%,002790,아모레G,"148,115"
2021-03-15 20:43:31,"135,000",-0.74%,271560,오리온,"57,944"
2021-03-15 20:43:31,"12,100",0.00%,032640,LG유플러스,"1,290,568"
2021-03-15 20:43:31,"217,000",-0.46%,011070,LG이노텍,"191,614"
2021-03-15 20:43:31,"95,000",+3.83%,019170,신풍제약,"875,069"
2021-03-15 20:43:31,"179,000",+0.28%,139480,이마트,"187,972"
2021-03-15 20:43:31,"66,700",+0.15%,021240,코웨이,"145,125"
2021-03-15 20:43:31,"86,900",-0.46%,071050,한국금융지주,"209,942"
2021-03-15 20:43:31,"28,050",+1.26%,003490,대한항공,"1,351,286"
2021-03-15 20:43:31,"42,750",+2.27%,000720,현대건설,"1,318,005"
2021-03-15 20:43:31,"114,000",0.00%,011790,SKC,0
2021-03-15 20:43:31,"281,500",+1.26%,267250,현대중공업지주,"49,210"
2021-03-15 20:43:31,"11,350",0.00%,034020,두산중공업,"1,718,875"
